Variant,formation_year,ticker,baseline_rank,variant_rank,rank_change
Without leverage,2015,META,3,4,1
Without leverage,2015,MO,10,7,-3
Without leverage,2015,MSFT,2,1,-1
Without leverage,2015,NKE,7,8,1
Without leverage,2016,ADBE,10,7,-3
Without leverage,2016,CRM,7,10,3
Without leverage,2016,GOOGL,1,2,1
Without leverage,2016,LRCX,3,1,-2
Without leverage,2016,MA,5,4,-1
Without leverage,2016,META,2,3,1
Without leverage,2016,SBUX,4,5,1
Without leverage,2017,AMZN,8,5,-3
Without leverage,2017,INTU,6,7,1
Without leverage,2017,KLAC,-,10,999
Without leverage,2017,LRCX,-,8,999
Without leverage,2017,MA,7,9,2
Without leverage,2017,NVDA,5,6,1
Without leverage,2017,SBUX,10,-,999
Without leverage,2017,TXN,9,-,999
Without leverage,2018,ADBE,4,3,-1
Without leverage,2018,META,3,4,1
Without leverage,2019,ADBE,5,3,-2
Without leverage,2019,INTU,3,6,3
Without leverage,2019,MA,8,5,-3
Without leverage,2019,META,4,7,3
Without leverage,2019,MSFT,7,4,-3
Without leverage,2019,V,6,8,2
Without leverage,2020,ASML,7,8,1
Without leverage,2020,KLAC,10,7,-3
Without leverage,2020,LRCX,-,9,999
Without leverage,2020,MA,4,5,1
Without leverage,2020,META,9,-,999
Without leverage,2020,MSFT,5,3,-2
Without leverage,2020,TXN,8,10,2
Without leverage,2020,V,3,4,1
Without leverage,2021,ASML,4,5,1
Without leverage,2021,INTU,5,4,-1
Without leverage,2022,ADBE,4,3,-1
Without leverage,2022,ASML,2,1,-1
Without leverage,2022,GOOGL,3,4,1
Without leverage,2022,KLAC,9,10,1
Without leverage,2022,META,1,2,1
Without leverage,2022,NVDA,8,7,-1
Without leverage,2022,PFE,10,9,-1
Without leverage,2022,TXN,7,8,1
Without leverage,2023,ASML,2,1,-1
Without leverage,2023,GOOGL,1,3,2
Without leverage,2023,MSFT,7,8,1
Without leverage,2023,NVDA,3,2,-1
Without leverage,2023,PFE,8,6,-2
Without leverage,2023,TXN,6,7,1
Without leverage,2024,COST,8,9,1
Without leverage,2024,GOOGL,6,7,1
Without leverage,2024,INTU,-,10,999
Without leverage,2024,JNJ,10,8,-2
Without leverage,2024,META,7,6,-1
Without leverage,2024,NVDA,9,-,999
Without leverage,2025,ADBE,5,4,-1
Without leverage,2025,ASML,3,2,-1
Without leverage,2025,GOOGL,2,3,1
Without leverage,2025,NVDA,4,5,1
